代码,名称,实际控制人,类型,总市值(亿)
002140,东华科技,中国化学工程集团有限公司,国务院国资委(经央企集团),66.0
600714,金瑞矿业,国家电力投资集团有限公司,国务院国资委(经央企集团),65.7
688631,莱斯信息,中国电子科技集团有限公司,国务院国资委(经央企集团),65.5
600422,昆药集团,中国华润有限公司,国务院国资委(经央企集团),64.8
000881,中广核技,中国广核集团有限公司,国务院国资委(经央企集团),64.3
600963,岳阳林纸,中国诚通控股集团有限公司,国务院国资委(经央企集团),63.3
002314,南山控股,中国南山开发(集团)股份有限公司,国务院国资委(经央企集团),63.1
002302,西部建设,中国建筑集团有限公司,国务院国资委(经央企集团),61.4
600449,宁夏建材,中国建材集团有限公司,国务院国资委(经央企集团),60.6
600855,航天长峰,中国航天科工集团有限公司,国务院国资委(经央企集团),60.4
601968,宝钢包装,中国宝武钢铁集团有限公司,国务院国资委(经央企集团),60.1
600433,冠豪高新,中国诚通控股集团有限公司,国务院国资委(经央企集团),60.0
002232,启明信息,中国第一汽车集团有限公司,国务院国资委(经央企集团),59.4
301137,哈焊华通,中国机械科学研究总院集团有限公司,国务院国资委(经央企集团),59.3
